"id","provinsi_id","kabupaten_kota","ibukota","k_bsni"
"1","1","Kabupaten Aceh Barat","Meulaboh","MBO"
"2","1","Kabupaten Aceh Barat Daya","Blangpidie","BPD"
"3","1","Kabupaten Aceh Besar","Jantho","JTH"
"4","1","Kabupaten Aceh Jaya","Calang","CAG"
"5","1","Kabupaten Aceh Selatan","Tapak Tuan","TTN"
"6","1","Kabupaten Aceh Singkil","Singkil","SKL"
"7","1","Kabupaten Aceh Tamiang","Karang Baru","KRB"
"8","1","Kabupaten Aceh Tengah","Takengon","TKN"
"9","1","Kabupaten Aceh Tenggara","Kutacane","KTN"
"10","1","Kabupaten Aceh Timur","Langsa","LGS"
"11","1","Kabupaten Aceh Utara","Lhoksukon","LSK"
"12","1","Kabupaten Bener Meriah","Simpang Tiga Redelong","STR"
"13","1","Kabupaten Bireuen","Bireuen","BIR"
"14","1","Kabupaten Gayo Lues","Blangkejeren","BKJ"
"15","1","Kabupaten Nagan Raya","Suka Makmue","SKM"
"16","1","Kabupaten Pidie","Sigli","SGI"
"17","1","Kabupaten Pidie Jaya","Meureundu","MRN"
"18","1","Kabupaten Simeulue","Sinabang","SNB"
"19","1","Kota Banda Aceh","Banda Aceh","BNA"
"20","1","Kota Langsa","Langsa","LGS"
"21","1","Kota Lhokseumawe","Lhokseumawe","LSM"
"22","1","Kota Sabang","Sabang","SAB"
"23","1","Kota Subulussalam","Subulussalam","SUS"
"24","2","Kabupaten Badung","Mengwi","MGW"
"25","2","Kabupaten Bangli","Bangli","BLI"
"26","2","Kabupaten Buleleng","Singaraja","SGR"
"27","2","Kabupaten Gianyar","Gianyar","GIN"
"28","2","Kabupaten Jembrana","Negara","NGA"
"29","2","Kabupaten Karangasem","Karangasem","KRA"
"30","2","Kabupaten Klungkung","Semarapura","SRP"
"31","2","Kabupaten Tabanan","Tabanan","TAB"
"32","2","Kota Denpasar","Denpasar","DPR"
"33","3","Kabupaten Bangka","Sungai Liat","SGL"
"34","3","Kabupaten Bangka Barat","Mentok","MTK"
"35","3","Kabupaten Bangka Selatan","Toboali","TBL"
"36","3","Kabupaten Bangka Tengah","Koba","KBA"
"37","3","Kabupaten Belitung","Tanjung Pandan","TDN"
"38","3","Kabupaten Belitung Timur","Manggar","MGR"
"39","3","Kota Pangkal Pinang","Pangkal Pinang","PGP"
"40","4","Kabupaten Lebak","Rangkas Bitung","RKB"
"41","4","Kabupaten Pandeglang","Pandeglang","PDG"
"42","4","Kabupaten Serang","Serang","SRG"
"43","4","Kabupaten Tangerang","Tigaraksa","TGR"
"44","4","Kota Cilegon","Cilegon","CLG"
"45","4","Kota Serang","Serang","SRG"
"46","4","Kota Tangerang","Tangerang","TNG"
"47","4","Kota Tangerang Selatan","Ciputat","CPT"
"48","5","Kabupaten Bengkulu Selatan","Manna","MNA"
"49","5","Kabupaten Bengkulu Tengah","Karang Tinggi","KRT"
