id,kabkot_id,kecamatan
1,1,Arongan Lambalek
2,1,Bubon
3,1,Johan Pahlawan
4,1,Kaway XVI
5,1,Meureubo
6,1,Pante Ceureumen (Pantai Ceuremen)
7,1,Panton Reu
8,1,Samatiga
9,1,Sungai Mas
10,1,Woyla
11,1,Woyla Barat
12,1,Woyla Timur
13,2,Babah Rot
14,2,Blang Pidie
15,2,Jeumpa
16,2,Kuala Batee
17,2,Lembah Sabil
18,2,Manggeng
19,2,Setia
20,2,Susoh
21,2,Tangan-Tangan
22,3,Baitussalam
23,3,Blank Bintang
24,3,Darul Imarah
25,3,Darul Kamal
26,3,Darussalam
27,3,Indrapuri
28,3,Ingin Jaya
29,3,Kota Cot Glie (Kuta Cot Glie)
30,3,Kota Jantho
31,3,Kota Malaka (Kuta Malaka)
32,3,Krueng Barona Jaya
33,3,Kuta Baro
34,3,Lembah Seulawah
35,3,Leupung
36,3,Lhoknga (Lho'nga)
37,3,Lhoong
38,3,Mantasiek (Montasik)
39,3,Mesjid Raya
40,3,Peukan Bada
41,3,Pulo Aceh
42,3,Seulimeum
43,3,Simpang Tiga
44,3,Suka Makmur
45,4,Darul Hikmah
46,4,Indra Jaya
47,4,Jaya
48,4,Keude Panga
49,4,Krueng Sabee
50,4,Pasie Raya
51,4,Sampoiniet
52,4,Setia Bakti
53,4,Teunom
54,5,Bakongan
55,5,Bakongan Timur
56,5,Kluet Selatan
57,5,Kluet Tengah
58,5,Kluet Timur
59,5,Kluet Utara
60,5,Kota Bahagia
61,5,Labuhan Haji
62,5,Labuhan Haji Barat
63,5,Labuhan Haji Timur
64,5,Meukek
65,5,Pasie Raja
66,5,Sama Dua
67,5,Sawang
68,5,Tapak Tuan
69,5,Trumon
70,5,Trumon Tengah
71,5,Trumon Timur
72,6,Danau Paris
73,6,Gunung Meriah (Mariah)
74,6,Kota Baharu
75,6,Kuala Baru
76,6,Pulau Banyak
77,6,Pulau Banyak Barat
78,6,Simpang Kanan
79,6,Singkil
80,6,Singkil Utara
81,6,Singkohor
82,6,Suro Makmur
83,7,Banda Mulia
84,7,Bandar Pusaka
85,7,Bendahara
86,7,Karang Baru
87,7,Kejuruan Muda
88,7,Kota Kuala Simpang
89,7,Manyak Payed
90,7,Rantau
91,7,Sekerak
92,7,Seruway
93,7,Tamiang Hulu
94,7,Tenggulun
95,8,Atu Lintang
96,8,Bebesen
97,8,Bies
98,8,Bintang
99,8,Celala
100,8,Jagong Jeget
101,8,Kebayakan
102,8,Ketol
103,8,Kute Panang
104,8,Linge
105,8,Lut Tawar
106,8,Pegasing
107,8,Rusip Antara
108,8,Silih Nara
109,9,Babul Makmur
110,9,Babul Rahmah
111,9,Babussalam
112,9,Badar
113,9,Bambel
114,9,Bukit Tusam
115,9,Darul Hasanah
116,9,Deleng Pokhisen
117,9,Ketambe
