id,kecamatan_id,kelurahan,kd_pos
1,1,Alue Bagok,23652
2,1,Alue Batee,23652
3,1,Alue Sundak,23652
4,1,Arongan,23652
5,1,Cot Buloh,23652
6,1,Cot Jurumudi,23652
7,1,Cot Kumbang,23652
8,1,Drien Rampak,23652
9,1,Gunong Pulo,23652
10,1,Karang Hampa,23652
11,1,Keub,23652
12,1,Kubu,23652
13,1,Pante Meutia,23652
14,1,Panton Bahagia,23652
15,1,Panton Makmur,23652
16,1,Peulanteu Lb,23652
17,1,Peuribu,23652
18,1,Rimba Langgeh,23652
19,1,Seuneubok Lueng,23652
20,1,Seuneubok Teungoh,23652
21,1,Simpang Peut,23652
22,1,Suak Bidok,23652
23,1,Suak Ie Beusou,23652
24,1,Suak Keumudee,23652
25,1,Teupin Peuraho,23652
26,1,Ujong Beusa,23652
27,1,Ujong Simpang,23652
28,2,Alue Bakong,23652
29,2,Alue Lhok,23652
30,2,Beurawang,23652
31,2,Blang Sibeutong,23652
32,2,Cot Keumuneng,23652
33,2,Cot Lada,23652
34,2,Gunong Panah,23652
35,2,Kuala Pling,23652
36,2,Kuta Padang,23652
37,2,Layung,23652
38,2,Liceh,23652
39,2,Peulanteu Sp,23652
40,2,Rambong,23652
41,2,Seumuleng,23652
42,2,Seuneubok Trap,23652
43,2,Suak Pangkat,23652
44,2,Ulee Blang,23652
45,3,Blang Berandang,23618
46,3,Drien Rampak,23617
47,3,Gampa,23611
48,3,Kampung Belakang,23611
49,3,Kampung Darat,23611
50,3,Kampung Pasir,23611
51,3,Kuta Padang,23614
52,3,Lapang,23618
53,3,Leuhan,23611
54,3,Padang Seurahet,23611
55,3,Panggong,23612
56,3,Pasar Aceh,23612
57,3,Rundeng,23616
58,3,Seuneubok,23611
59,3,Suak Nie,23611
60,3,Suak Raya,23611
61,3,Suak Ribee,23611
62,3,Suak Sigadeng,23611
63,3,Suwak Indrapuri,23611
64,3,Ujong Baroh,23615
65,3,Ujung Kalak,23613
66,4,Alue Lhee,23681
67,4,Alue Lhok,23681
68,4,Alue On,23681
69,4,Alue Peudeung,23681
70,4,Alue Tampak,23681
71,4,Babah Meulaboh,23681
72,4,Batu Jaya,23681
73,4,Beureugang,23681
74,4,Blang Dalam,23681
75,4,Blang Geunang,23681
76,4,Drien Calee,23681
77,4,Keude Aron,23681
78,4,Keude Tanjong,23681
79,4,Keuramat,23681
80,4,Marek,23681
81,4,Menuang Tanjong,23681
82,4,Mesjid,23681
83,4,Meunasah Ara,23681
84,4,Meunasah Buloh,23681
85,4,Meunasah Gantung,23681
86,4,Meunasah Rambot,23681
87,4,Meunasah Rayeuk,23681
88,4,Muko,23681
89,4,Padang Mancang,23681
90,4,Padang Sikabu,23681
91,4,Palimbungan,23681
92,4,Pasi Ara,23681
93,4,Pasi Jambu,23681
94,4,Pasi Jeumpa,23681
95,4,Pasi Kumbang,23681
96,4,Pasi Meugat,23681
97,4,Pasi Teungoh,23681
98,4,Peunia,23681
99,4,Pucok Pungkie,23681
100,4,Pungkie,23681
101,4,Putim,23681
102,4,Puuk,23681
103,4,Sawang Teubee,23681
104,4,Simpang,23681
105,4,Tanjong Bunga,23681
106,4,Tanjong Meulaboh,23681
107,4,Teuladan,23681
108,4,Teupin Panah,23681
109,4,Tumpok Ladang,23681
110,5,Balee,23615
111,5,Bukit Jaya,23615
112,5,Buloh,23615
113,5,Gunong Kleng,23615
114,5,Langung,23615
115,5,Mesjid Tuha,23615
116,5,Meureubo,23615
117,5,Pasi Aceh Baroh,23615
118,5,Pasi Aceh Tunong,23615
119,5,Pasi Mesjid,23615
120,5,Pasi Pinang,23615
121,5,Paya Baro Rp.,23615
122,5,Paya Peunaga,23615
123,5,Peunaga Cut Ujong,23615
