source_value,corrected_value,entity_level,province,kabupaten_kota,singkatan,reason_code,reason_description,fix_source,notes
ldi Rayeuk,Idi Rayeuk,kabupaten_kota,Aceh,Kabupaten Aceh Timur,IRY,EXISTING CODE,,bsni,"OCR error: ""ldi Rayeuk"" (l instead of I)"
Tabanan,Singasana,kabupaten_kota,Bali,Kabupaten Tabanan,SGS,RULE 7,S + G + S (4 syllables),bsni,"Wrong city name: ""Tabanan"" should be ""Singasana"" (UU 79/2024)"
Muntok,Mentok,kabupaten_kota,Kepulauan Bangka Belitung,Kabupaten Bangka Barat,MTK,EXISTING CODE,,bsni,"Spelling error: ""Muntok"" should be ""Mentok"""
llaga,Ilaga,kabupaten_kota,Papua Tengah,Kabupaten Puncak,ILG,EXISTING CODE,,bsni,"OCR error: ""llaga"" (l instead of I)"
Sidenreng,Pangkajene Sidenreng,kabupaten_kota,Sulawesi Selatan,Kabupaten Sidenreng Rappang,PKR,RULE 3,P + K + R (3 words),bsni,"Wrong city name: ""Sidenreng"" should be ""Pangkajene Sidenreng"" (UU 143/2024)"
Toli Toli,Baolan,kabupaten_kota,Sulawesi Tengah,Kabupaten Toli-Toli,BOL,RULE 5,B + O + L (2 syllables),bsni,"Wrong city name: ""Toli Toli"" should be ""Baolan"""
Baroko,Boroko,kabupaten_kota,Sulawesi Utara,Kabupaten Bolaang Mongondow Utara,BRK,EXISTING CODE,,bsni,"Spelling error: ""Baroko"" should be ""Boroko"""
Nagari Parit Malintang,Parik Malintang,kabupaten_kota,Sumatra Barat,Kabupaten Padang Pariaman,PMT,RULE 4,P + M + T (2 words),bsni,"Wrong city name: ""Nagari Parit Malintang"" should be ""Parik Malintang"" (UU 47/2024)"
Padang Sidempuan,Padangsidimpuan,kabupaten_kota,Sumatra Utara,Kota Padangsidimpuan,PSP,EXISTING CODE,,bsni,"Wrong city name: ""Padang Sidempuan"" should be ""Padangsidimpuan"" (UU 8/2023)"
Padang,Koto Tangah,kabupaten_kota,Sumatra Barat,Kota Padang,KTT,RULE 4,K + T + T (2 words),bsni," Wrong city name: BSNI shows ""Padang""  should be ""Koto Tangah"""
Kototangah,Koto Tangah,kabupaten_kota,Sumatra Barat,Kota Padang,KTT,RULE 4,K + T + T (2 words),kecamatan_index," Wrong city name: kecamatan_index shows ""Kototangah"" (typo)  should be ""Koto Tangah"""
Bireun,Bireuen,kabupaten_kota,Aceh,Kabupaten Bireuen,BRE,EXISTING CODE,,kecamatan_index,"Spelling error: ""Bireun"" should be ""Bireuen"""
Grogol Petamburan,Kembangan,kabupaten_kota,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Barat,KBN,EXISTING CODE,,kecamatan_index,"Wrong city name: ""Grogol Petamburan"" should be ""Kembangan"""
Pulau Seribu,Pulau Pramuka,kabupaten_kota,Daerah Khusus Ibukota Jakarta,Kabupaten Administrasi Kepulauan Seribu,PPR,EXISTING CODE,,kecamatan_index,"Wrong city name: ""Pulau Seribu"" should be ""Pulau Pramuka"""
Pelabuhan Ratu,Palabuhanratu,kabupaten_kota,Jawa Barat,Kabupaten Sukabumi,PRT,EXISTING CODE,,kecamatan_index,"Spelling error: ""Pelabuhan Ratu"" should be ""Palabuhanratu"""
Sukadane,Sukadana,kabupaten_kota,Kalimantan Barat,Kabupaten Kayong Utara,SDN,EXISTING CODE,,kecamatan_index,"Spelling error: ""Sukadane"" should be ""Sukadana"""
Berabai,Barabai,kabupaten_kota,Kalimantan Selatan,Kabupaten Hulu Sungai Tengah,BRB,EXISTING CODE,,kecamatan_index,"Spelling error: ""Berabai"" should be ""Barabai"""
Sanggatta,Sangatta,kabupaten_kota,Kalimantan Timur,Kabupaten Kutai Timur,SGT,EXISTING CODE,,kecamatan_index,"Spelling error: ""Sanggatta"" should be ""Sangatta"""
Kota Tidore Kepulauan,Tidore,kabupaten_kota,Maluku Utara,Kota Tidore Kepulauan,TDR,EXISTING CODE,,kecamatan_index,"Wrong city name: ""Kota Tidore Kepulauan"" should be ""Tidore"""
Morotai Selatan,Daruba,kabupaten_kota,Maluku Utara,Kabupaten Pulau Morotai,DRB,EXISTING CODE,,kecamatan_index,"Wrong city name: ""Morotai Selatan"" should be ""Daruba"""
Taliabu Barat,Bobong,kabupaten_kota,Maluku Utara,Kabupaten Pulau Taliabu,BBG,EXISTING CODE,,kecamatan_index,"Wrong city name: ""Taliabu Barat"" should be ""Bobong"""
Kafemananu,Kefamenanu,kabupaten_kota,Nusa Tenggara Timur,Kabupaten Timor Tengah Utara,KFM,EXISTING CODE,,kecamatan_index,"Spelling error: ""Kafemananu"" should be ""Kefamenanu"""
Malaka Tengah,Betun,kabupaten_kota,Nusa Tenggara Timur,Kabupaten Malaka,BET,EXISTING CODE,,kecamatan_index,"Wrong city name: ""Malaka Tengah"" should be ""Betun"""
Pasir Pengarairan,Pasir Pengaraian,kabupaten_kota,Riau,Kabupaten Rokan Hulu,PRP,EXISTING CODE,,kecamatan_index,"Spelling error: ""Pasir Pengarairan"" should be ""Pasir Pengaraian"""
Sunggu Minahasa,Sungguminasa,kabupaten_kota,Sulawesi Selatan,Kabupaten Gowa,SGM,EXISTING CODE,,kecamatan_index,"Spelling error: ""Sunggu Minahasa"" should be ""Sungguminasa"""
Wangi Wangi,Wangi-Wangi,kabupaten_kota,Sulawesi Tenggara,Kabupaten Wakatobi,WGI,EXISTING CODE,,kecamatan_index,"Spelling error: ""Wangi Wangi"" should be ""Wangi-Wangi"""
Melongguane,Melonguane,kabupaten_kota,Sulawesi Utara,Kabupaten Kepulauan Talaud,MGN,EXISTING CODE,,kecamatan_index,"Spelling error: ""Melongguane"" should be ""Melonguane"""
Pelembang,Palembang,kabupaten_kota,Sumatra Selatan,Kota Palembang,PLG,EXISTING CODE,,kecamatan_index,"Spelling error: ""Pelembang"" should be ""Palembang"""
